date,open,high,low,close,volume,change
2024-01-02,78200,79800,78200,79600,17142847,1.4012738853503186
2024-01-03,78500,78800,77000,77000,21753644,-3.2663316582914574
2024-01-04,76100,77300,76100,76600,15324439,-0.5194805194805194
2024-01-05,76700,77100,76400,76600,11304316,0.0
2024-01-08,77000,77500,76400,76500,11088724,-0.13054830287206268
2024-01-09,77400,77700,74300,74700,26019249,-2.3529411764705883
2024-01-10,75000,75200,73200,73600,20259529,-1.4725568942436411
2024-01-11,72900,73600,72700,73200,57691266,-0.5434782608695652
2024-01-12,73000,74100,72800,73100,13038939,-0.1366120218579235
2024-01-15,73200,74000,73200,73900,13212339,1.094391244870041
2024-01-16,73500,73700,72500,72600,14760415,-1.7591339648173208
2024-01-17,73100,73300,71000,71000,22683660,-2.203856749311295
2024-01-18,71600,72000,70700,71700,17853397,0.9859154929577465
2024-01-19,73500,74700,73000,74700,23363427,4.184100418410042
2024-01-22,75900,76000,75000,75100,19673375,0.535475234270415
2024-01-23,75700,75800,74300,75200,14786224,0.13315579227696406
2024-01-24,75200,75200,73500,74000,12860661,-1.5957446808510638
2024-01-25,74200,74800,73700,74100,11737747,0.13513513513513514
2024-01-26,73700,74500,73300,73400,11160062,-0.9446693657219973
2024-01-29,73800,75200,73500,74400,13976521,1.3623978201634876
2024-01-30,75000,75300,73700,74300,12244418,-0.13440860215053765
2024-01-31,73400,74000,72500,72700,15703560,-2.1534320323014806
2024-02-01,73000,74200,72900,73600,19881033,1.2379642365887207
2024-02-02,74000,75200,73700,75200,14955881,2.1739130434782608
2024-02-05,74200,74800,73500,74300,19026021,-1.196808510638298
2024-02-06,74300,74700,73300,74400,14559254,0.13458950201884254
2024-02-07,74600,75500,74300,75000,16566445,0.8064516129032258
2024-02-08,75000,75200,73600,74100,20810708,-1.2
2024-02-13,74800,75200,74400,75200,21966745,1.484480431848853
2024-02-14,73700,74300,73700,74000,12434945,-1.5957446808510638
2024-02-15,74200,74400,73000,73000,14120600,-1.3513513513513513
2024-02-16,73300,73400,72500,72800,13444781,-0.273972602739726
2024-02-19,72800,73900,72800,73800,12726404,1.3736263736263736
2024-02-20,73700,73700,72800,73300,14681477,-0.6775067750677507
2024-02-21,73400,73700,72900,73000,11503495,-0.4092769440654843
2024-02-22,73800,73900,72700,73100,15208934,0.136986301369863
2024-02-23,73600,74200,72900,72900,16225166,-0.27359781121751026
2024-02-26,72300,73200,72200,72800,14669352,-0.1371742112482853
2024-02-27,73100,73400,72700,72900,13201981,0.13736263736263737
2024-02-28,72900,73900,72800,73200,11795859,0.411522633744856
2024-02-29,72600,73400,72000,73400,21176403,0.273224043715847
2024-03-04,74300,75000,74000,74900,23210474,2.043596730245232
2024-03-05,74600,74800,73700,73700,19505125,-1.602136181575434
2024-03-06,73200,73500,72700,72900,21547905,-1.0854816824966078
2024-03-07,73100,73300,72200,72200,14516963,-0.9602194787379973
2024-03-08,72800,73400,72600,73300,19271349,1.5235457063711912
2024-03-11,72900,73100,72300,72400,9740504,-1.227830832196453
2024-03-12,72600,73500,72100,73300,13011654,1.2430939226519337
2024-03-13,73700,74100,73500,74100,15243134,1.0914051841746248
2024-03-14,74400,74500,73600,74300,22545539,0.2699055330634278
